,name,county,median_income,county2,CODE,COUNTY
CARTERET,Carteret,Middlesex,67068,MIDDLESEX,1201.0,Middlesex County
CEDAR GROVE,Cedar Grove,Essex,101779,ESSEX,704.0,Essex County
CHATHAM,Chatham,Morris,151216,MORRIS,1404.0,Morris County
CHATHAM,Chatham,Morris,151216,MORRIS,1405.0,Morris County
CHATHAM BOROUGH,Chatham Borough,Morris,142765,MORRIS,,
CHERRY HILL,Cherry Hill,Camden,92185,CAMDEN,409.0,Camden County
CHESILHURST,Chesilhurst,Camden,53516,CAMDEN,410.0,Camden County
CHESTER,Chester,Morris,154094,MORRIS,1406.0,Morris County
CHESTER,Chester,Morris,154094,MORRIS,1407.0,Morris County
CHESTER,Chester,Morris,97250,MORRIS,1406.0,Morris County
CHESTER,Chester,Morris,97250,MORRIS,1407.0,Morris County
CHESTERFIELD,Chesterfield,Burlington,120515,BURLINGTON,307.0,Burlington County
CINNAMINSON,Cinnaminson,Burlington,90286,BURLINGTON,308.0,Burlington County
CITY OF ORANGE,City of Orange,Essex,33233,ESSEX,,
CLARK,Clark,Union,90956,UNION,2002.0,Union County
CLAYTON,Clayton,Gloucester,63628,GLOUCESTER,801.0,Gloucester County
CLEMENTON,Clementon,Camden,52661,CAMDEN,411.0,Camden County
CLIFFSIDE PARK,Cliffside Park,Bergen,60979,BERGEN,206.0,Bergen County
CLIFTON,Clifton,Passaic,67992,PASSAIC,1602.0,Passaic County
CLINTON,Clinton,Hunterdon,101422,HUNTERDON,1005.0,Hunterdon County
CLINTON,Clinton,Hunterdon,101422,HUNTERDON,1006.0,Hunterdon County
CLINTON TOWNSHIP,Clinton Township,Hunterdon,123147,HUNTERDON,,
CLOSTER,Closter,Bergen,124023,BERGEN,207.0,Bergen County
COLLINGSWOOD,Collingswood,Camden,60777,CAMDEN,412.0,Camden County
COLTS NECK,Colts Neck,Monmouth,160000,MONMOUTH,1310.0,Monmouth County
COMMERCIAL TOWNSHIP,Commercial Township,Cumberland,46195,CUMBERLAND,,
CORBIN CITY,Corbin City,Atlantic,56875,ATLANTIC,106.0,Atlantic County
CRANBURY,Cranbury,Middlesex,128750,MIDDLESEX,1202.0,Middlesex County
CRANFORD,Cranford,Union,115201,UNION,2003.0,Union County
CRESSKILL,Cresskill,Bergen,110156,BERGEN,208.0,Bergen County
DEAL,Deal,Monmouth,80714,MONMOUTH,1311.0,Monmouth County
DEERFIELD,Deerfield,Cumberland,67012,CUMBERLAND,603.0,Cumberland County
DELANCO,Delanco,Burlington,67153,BURLINGTON,309.0,Burlington County
DELAWARE,Delaware,Hunterdon,104643,HUNTERDON,1007.0,Hunterdon County
DELRAN,Delran,Burlington,90512,BURLINGTON,310.0,Burlington County
DEMAREST,Demarest,Bergen,163571,BERGEN,209.0,Bergen County
DENNIS TOWNSHIP,Dennis Township,Cape May,66727,CAPE MAY,,
DENVILLE,Denville,Morris,104815,MORRIS,1408.0,Morris County
DEPTFORD,Deptford,Gloucester,64705,GLOUCESTER,802.0,Gloucester County
DOVER,Dover,Morris,60822,MORRIS,1409.0,Morris County
DOWNE,Downe,Cumberland,45333,CUMBERLAND,604.0,Cumberland County
DUMONT,Dumont,Bergen,93074,BERGEN,210.0,Bergen County
DUNELLEN,Dunellen,Middlesex,77099,MIDDLESEX,1203.0,Middlesex County
EAGLESWOOD,Eagleswood,Ocean,85000,OCEAN,1509.0,Ocean County
EAST AMWELL,East Amwell,Hunterdon,97031,HUNTERDON,1008.0,Hunterdon County
EAST BRUNSWICK,East Brunswick,Middlesex,98658,MIDDLESEX,1204.0,Middlesex County
EAST GREENWICH TOWNSHIP,East Greenwich Township,Gloucester,113421,GLOUCESTER,,
EAST HANOVER,East Hanover,Morris,102165,MORRIS,1410.0,Morris County
EAST NEWARK,East Newark,Hudson,49375,HUDSON,902.0,Hudson County
EAST ORANGE,East Orange,Essex,36921,ESSEX,705.0,Essex County
EAST RUTHERFORD,East Rutherford,Bergen,78680,BERGEN,,
EAST WINDSOR,East Windsor,Mercer,82700,MERCER,1101.0,Mercer County
EASTAMPTON,Eastampton,Burlington,70814,BURLINGTON,311.0,Burlington County
EATONTOWN,Eatontown,Monmouth,64149,MONMOUTH,1312.0,Monmouth County
EDGEWATER,Edgewater,Bergen,101767,BERGEN,213.0,Bergen County
EDGEWATER PARK,Edgewater Park,Burlington,62475,BURLINGTON,312.0,Burlington County
EDISON,Edison,Middlesex,90515,MIDDLESEX,1205.0,Middlesex County
EGG HARBOR,Egg Harbor,Atlantic,74409,ATLANTIC,107.0,Atlantic County
EGG HARBOR,Egg Harbor,Atlantic,74409,ATLANTIC,108.0,Atlantic County
EGG HARBOR CITY,Egg Harbor City,Atlantic,43235,ATLANTIC,,
ELIZABETH,Elizabeth,Union,43568,UNION,2004.0,Union County
ELK TOWNSHIP,Elk Township,Gloucester,67321,GLOUCESTER,,
ELMER,Elmer,Salem,72411,SALEM,1703.0,Salem County
ELMWOOD PARK,Elmwood Park,Bergen,71852,BERGEN,211.0,Bergen County
ELSINBORO,Elsinboro,Salem,66094,SALEM,1704.0,Salem County
EMERSON,Emerson,Bergen,102500,BERGEN,214.0,Bergen County
ENGLEWOOD,Englewood,Bergen,75074,BERGEN,215.0,Bergen County
ENGLEWOOD CLIFFS,Englewood Cliffs,Bergen,140605,BERGEN,216.0,Bergen County
ENGLISHTOWN,Englishtown,Monmouth,83317,MONMOUTH,1313.0,Monmouth County
ESSEX FELLS,Essex Fells,Essex,172386,ESSEX,706.0,Essex County
ESTELL MANOR,Estell Manor,Atlantic,78750,ATLANTIC,109.0,Atlantic County
EVESHAM,Evesham,Burlington,90797,BURLINGTON,313.0,Burlington County
EWING,Ewing,Mercer,77464,MERCER,1102.0,Mercer County
FAIR HAVEN,Fair Haven,Monmouth,157344,MONMOUTH,1314.0,Monmouth County
FAIR LAWN,Fair Lawn,Bergen,99536,BERGEN,,
FAIRFIELD,Fairfield,Essex,106691,ESSEX,605.0,Cumberland County
FAIRFIELD,Fairfield,Essex,106691,ESSEX,707.0,Essex County
FAIRFIELD,Fairfield,Cumberland,50154,CUMBERLAND,605.0,Cumberland County
FAIRFIELD,Fairfield,Cumberland,50154,CUMBERLAND,707.0,Essex County
FAIRVIEW,Fairview,Bergen,53846,BERGEN,218.0,Bergen County
FANWOOD,Fanwood,Union,111905,UNION,2005.0,Union County
FAR HILLS,Far Hills,Somerset,103333,SOMERSET,1807.0,Somerset County
FARMINGDALE,Farmingdale,Monmouth,61101,MONMOUTH,1315.0,Monmouth County
FIELDSBORO,Fieldsboro,Burlington,74375,BURLINGTON,314.0,Burlington County
FLEMINGTON,Flemington,Hunterdon,50333,HUNTERDON,1009.0,Hunterdon County
FLORENCE,Florence,Burlington,78709,BURLINGTON,315.0,Burlington County
FLORHAM PARK,Florham Park,Morris,103916,MORRIS,1411.0,Morris County
FOLSOM,Folsom,Atlantic,66250,ATLANTIC,110.0,Atlantic County
FORT LEE,Fort Lee,Bergen,70415,BERGEN,219.0,Bergen County
FRANKFORD,Frankford,Sussex,89891,SUSSEX,1905.0,Sussex County
FRANKLIN,Franklin,Sussex,57599,SUSSEX,805.0,Gloucester County
FRANKLIN,Franklin,Sussex,57599,SUSSEX,1010.0,Hunterdon County
FRANKLIN,Franklin,Sussex,57599,SUSSEX,1808.0,Somerset County
FRANKLIN,Franklin,Sussex,57599,SUSSEX,1906.0,Sussex County
FRANKLIN,Franklin,Sussex,57599,SUSSEX,2105.0,Warren County
FRANKLIN LAKES,Franklin Lakes,Bergen,156146,BERGEN,220.0,Bergen County
FRANKLIN TOWNSHIP,Franklin Township,Hunterdon,96591,HUNTERDON,,
FRANKLIN TOWNSHIP,Franklin Township,Somerset,90949,SOMERSET,,
FRANKLIN TOWNSHIP,Franklin Township,Warren,89420,WARREN,,
FRANKLIN TOWNSHIP,Franklin Township,Gloucester,77739,GLOUCESTER,,
FREDON,Fredon,Sussex,100368,SUSSEX,1907.0,Sussex County
FREEHOLD BOROUGH,Freehold Borough,Monmouth,54595,MONMOUTH,,
FREEHOLD TOWNSHIP,Freehold Township,Monmouth,100759,MONMOUTH,,
FRELINGHUYSEN,Frelinghuysen,Warren,100625,WARREN,2106.0,Warren County
FRENCHTOWN,Frenchtown,Hunterdon,77396,HUNTERDON,1011.0,Hunterdon County
GALLOWAY,Galloway,Atlantic,61530,ATLANTIC,111.0,Atlantic County
GARFIELD,Garfield,Bergen,45469,BERGEN,221.0,Bergen County
GARWOOD,Garwood,Union,73924,UNION,2006.0,Union County
GIBBSBORO,Gibbsboro,Camden,82944,CAMDEN,413.0,Camden County
GLASSBORO,Glassboro,Gloucester,64246,GLOUCESTER,806.0,Gloucester County
GLEN GARDNER,Glen Gardner,Hunterdon,61917,HUNTERDON,1012.0,Hunterdon County
GLEN RIDGE,Glen Ridge,Essex,170433,ESSEX,708.0,Essex County
GLEN ROCK,Glen Rock,Bergen,155221,BERGEN,222.0,Bergen County
GLOUCESTER,Gloucester,Camden,71963,CAMDEN,414.0,Camden County
GLOUCESTER,Gloucester,Camden,71963,CAMDEN,415.0,Camden County
GLOUCESTER CITY,Gloucester City,Camden,50615,CAMDEN,,
GREEN BROOK,Green Brook,Somerset,130053,SOMERSET,1809.0,Somerset County
GREEN TOWNSHIP,Green Township,Sussex,119286,SUSSEX,,
GREENWICH TOWNSHIP,Greenwich Township,Warren,111094,WARREN,,
GREENWICH TOWNSHIP,Greenwich Township,Cumberland,66667,CUMBERLAND,,
GREENWICH TOWNSHIP,Greenwich Township,Gloucester,64652,GLOUCESTER,,
GUTTENBERG,Guttenberg,Hudson,56837,HUDSON,903.0,Hudson County
HACKENSACK,Hackensack,Bergen,55289,BERGEN,223.0,Bergen County
HACKETTSTOWN,Hackettstown,Warren,64464,WARREN,2108.0,Warren County
HADDON,Haddon,Camden,82621,CAMDEN,416.0,Camden County
HADDON HEIGHTS,Haddon Heights,Camden,88162,CAMDEN,418.0,Camden County
HADDONFIELD,Haddonfield,Camden,128440,CAMDEN,417.0,Camden County
HAINESPORT,Hainesport,Burlington,90331,BURLINGTON,316.0,Burlington County
HALEDON,Haledon,Passaic,64024,PASSAIC,1603.0,Passaic County
HAMBURG,Hamburg,Sussex,75179,SUSSEX,1909.0,Sussex County
HAMILTON TOWNSHIP,Hamilton Township,Mercer,70996,MERCER,,
HAMILTON TOWNSHIP,Hamilton Township,Atlantic,60838,ATLANTIC,,
HAMMONTON,Hammonton,Atlantic,62798,ATLANTIC,113.0,Atlantic County
HAMPTON,Hampton,Sussex,76127,SUSSEX,1013.0,Hunterdon County
HAMPTON,Hampton,Sussex,76127,SUSSEX,1910.0,Sussex County
HAMPTON,Hampton,Hunterdon,72045,HUNTERDON,1013.0,Hunterdon County
HAMPTON,Hampton,Hunterdon,72045,HUNTERDON,1910.0,Sussex County
HANOVER TOWNSHIP,Hanover Township,Morris,113816,MORRIS,,
HARDING TOWNSHIP,Harding Township,Morris,171331,MORRIS,,
HARDWICK,Hardwick,Warren,105556,WARREN,2109.0,Warren County
HARDYSTON,Hardyston,Sussex,94665,SUSSEX,1911.0,Sussex County
HARMONY,Harmony,Warren,81146,WARREN,2110.0,Warren County
HARRINGTON PARK,Harrington Park,Bergen,128088,BERGEN,224.0,Bergen County
HARRISON,Harrison,Gloucester,127975,GLOUCESTER,808.0,Gloucester County
HARRISON,Harrison,Gloucester,127975,GLOUCESTER,904.0,Hudson County
HARRISON,Harrison,Hudson,56713,HUDSON,808.0,Gloucester County
HARRISON,Harrison,Hudson,56713,HUDSON,904.0,Hudson County
HARVEY CEDARS,Harvey Cedars,Ocean,69167,OCEAN,1510.0,Ocean County
HASBROUCK HEIGHTS,Hasbrouck Heights,Bergen,81460,BERGEN,,
HAWORTH,Haworth,Bergen,160526,BERGEN,226.0,Bergen County
HAWTHORNE,Hawthorne,Passaic,82532,PASSAIC,1604.0,Passaic County
HAZLET,Hazlet,Monmouth,84871,MONMOUTH,1318.0,Monmouth County
HELMETTA,Helmetta,Middlesex,74554,MIDDLESEX,1206.0,Middlesex County
HI-NELLA,Hi-Nella,Camden,47589,CAMDEN,,
HIGH BRIDGE,High Bridge,Hunterdon,81250,HUNTERDON,1014.0,Hunterdon County
HIGHLAND PARK,Highland Park,Middlesex,68837,MIDDLESEX,1207.0,Middlesex County
