mun_code,name,county,median_income
0715,North Caldwell,Essex,200152
Frankford,Sussex,89891
Hope Township,Warren,89792
Point Pleasant Boro,Ocean,89779
Pine Beach,Ocean,89750
Franklin Township,Warren,89420
Parsippany-Troy Hills,Morris,89385
Midland Park,Bergen,89130
Allamuchy,Warren,88802
Woodland,Burlington,88636
Piscataway,Middlesex,88494
Totowa,Passaic,88490
Mount Olive,Morris,88333
Washington,Warren,88322
Knowlton,Warren,88259
Haddon Heights,Camden,88162
Holland,Hunterdon,88125
Wanaque,Passaic,88125
Atlantic Highlands,Monmouth,88024
Vernon,Sussex,87779
Mount Laurel,Burlington,87724
Pequannock,Morris,87464
Wantage,Sussex,87300
Riverdale,Morris,87274
Logan,Gloucester,87200
Pompton Lakes,Passaic,87004
Plumsted Township,Ocean,86694
Lebanon,Hunterdon,86620
Pilesgrove,Salem,86523
Longport,Atlantic,86484
South Plainfield,Middlesex,86404
Lawrence township,Mercer,86301
Leonia,Bergen,86107
Bordentown,Burlington,86104
Secaucus,Hudson,86061
Washington Township,Gloucester,85892
Westwoodd,Bergen,85849
Eagleswood,Ocean,85000
Nutley,Essex,84974
Mount Arlington,Morris,84912
Northvale,Bergen,84881
Hazlet,Monmouth,84871
Jackson,Ocean,84871
Rutherford,Bergen,84778
Aberdeen,Monmouth,84720
Blairstown,Warren,84717
Port Republic,Atlantic,84688
Lumberton,Burlington,84190
Old Bridge,Middlesex,83750
Avalon,Cape May,83523
Englishtown,Monmouth,83317
Sea Bright,Monmouth,83244
Allenhurst,Monmouth,83155
Gibbsboro,Camden,82944
Woodstown,Salem,82738
East Windsor,Mercer,82700
Mantua,Gloucester,82673
Haddon,Camden,82621
Hawthorne,Passaic,82532
Berlin,Camden,82429
Linwood,Atlantic,82419
Lincoln Park,Morris,81956
Burlington,Burlington,81798
New Hanover,Burlington,81500
Hasbrouck Heights,Bergen,81460
Matawan,Monmouth,81420
Maywood,Bergen,81339
Stanhope,Sussex,81311
High Bridge,Hunterdon,81250
Laurel Springs,Camden,81250
Harmony,Warren,81146
Stone Harbor,Cape May,81111
Deal,Monmouth,80714
West Long Branch,Monmouth,80585
Saddle Brook,Bergen,80543
Sayreville,Middlesex,80386
North Brunswick,Middlesex,80358
Ocean Township,Monmouth,80323
Long Beach Township,Ocean,80096
Woodbridge,Middlesex,79720
Woodbury Heights,Gloucester,79653
Lambertville,Hunterdon,79444
Stillwater,Sussex,79392
Middlesex Boro,Middlesex,79327
Independence,Warren,79301
Ogdensburg,Sussex,79271
Audubon,Camden,79000
Bergenfield,Bergen,79000
Estell Manor,Atlantic,78750
Florence,Burlington,78709
Woodland Park,Passaic,78708
Milford,Hunterdon,78681
East Rutherford,Bergen,78680
Rockaway Borough,Morris,78604
Voorhees,Camden,78568
Island Heights,Ocean,78147
New Milford,Bergen,78077
Franklin Township,Gloucester,77739
Barnegat Light,Ocean,77500
Ewing,Mercer,77464
Morristown,Morris,77407
Frenchtown,Hunterdon,77396
Dunellen,Middlesex,77099
Upper Township,Cape May,77012
Andover,Sussex,76875
Hopatcong,Sussex,76875
Bogota,Bergen,76649
Point Pleasant Beach,Ocean,76174
Hampton,Sussex,76127
Bloomsbury,Hunterdon,76071
Bloomingdale,Passaic,75781
Union Township,Union,75742
Swedesboro,Gloucester,75595
Weehawken,Hudson,75388
Hamburg,Sussex,75179
Englewood,Bergen,75074
Sandyston,Sussex,74875
Spotswood,Middlesex,74696
Helmetta,Middlesex,74554
Egg Harbor,Atlantic,74409
Fieldsboro,Burlington,74375
Waterford,Camden,74250
Monroe,Gloucester,74212
Garwood,Union,73924
Tinton Falls,Monmouth,73891
Raritan,Somerset,73827
Lopatcong,Warren,73734
Pitman,Gloucester,73616
Alloway,Salem,73586
Rochelle Park,Bergen,73512
Little Falls,Passaic,73256
Seaside Park,Ocean,72981
Winslow,Camden,72934
Mannington,Salem,72917
Bloomfield,Essex,72840
Caldwell,Essex,72708
Elmer,Salem,72411
Spring Lake Heights,Monmouth,72353
Roosevelt,Monmouth,72321
Oxford,Warren,72311
Lower Alloways Creek,Salem,72250
South Bound Brook,Somerset,72180
Stow Creek,Cumberland,72159
Hampton,Hunterdon,72045
Oldmans,Salem,72045
Beach Haven,Ocean,71964
Gloucester,Camden,71963
Toms River,Ocean,71960
Elmwood Park,Bergen,71852
Lacey,Ocean,71714
Beachwood,Ocean,71540
Avon-by-the-Sea,Monmouth,71513
Hightstown,Mercer,71174
Hamilton Township,Mercer,70996
Eastampton,Burlington,70814
Jamesburg,Middlesex,70787
Brick,Ocean,70647
Somerville,Somerset,70643
Newfield,Gloucester,70556
Fort Lee,Bergen,70415
Monroe,Middlesex,70357
Lyndhurst,Bergen,70344
Carlstadt,Bergen,70056
Merchantville,Camden,69833
Stafford Township,Ocean,69268
Harvey Cedars,Ocean,69167
Northfield,Atlantic,68854
Ridgefield,Bergen,68843
Highland Park,Middlesex,68837
Pittsgrove,Salem,68785
Bordentown,Burlington,68266
Ocean Township,Ocean,67997
Clifton,Passaic,67992
Oaklyn,Camden,67969
Stratford,Camden,67556
Little Ferry,Bergen,67357
Elk Township,Gloucester,67321
Branchville,Sussex,67308
Shiloh,Cumberland,67292
Mullica Township,Atlantic,67269
Delanco,Burlington,67153
Margate,Atlantic,67138
Pemberton,Burlington,67098
Carteret,Middlesex,67068
Deerfield,Cumberland,67012
West Deptford,Gloucester,66964
Dennis Township,Cape May,66727
Sea Isle City,Cape May,66683
Greenwich Township,Cumberland,66667
Ocean Gate,Ocean,66667
Union Beach,Monmouth,66662
Surf City,Ocean,66597
Wharton,Morris,66579
Pohatcong,Warren,66556
North Arlington,Bergen,66484
Hopewell Township,Cumberland,66326
North Plainfield,Somerset,66272
Folsom,Atlantic,66250
South Toms River,Ocean,66250
Elsinboro,Salem,66094
